x,y
970190.2779512914,1951023.318688573
969905.5100881946,1951163.031845248
970042.9098173036,1950570.078777469
969427.1598268329,1950776.470268194
969808.5127018292,1950235.871115138
969854.8057096542,1950092.5815274091
969052.5271573395,1949792.6551594168
967699.9210026012,1949057.802504386
967558.1113547041,1950067.9715634754
967112.8747691596,1949833.4097929997
967762.6450111773,1948603.786822081
966697.1814655612,1947283.2960882727
970501.9082474788,1949991.5099618959
967556.9023440953,1950661.5420504836
967603.5030052977,1950833.3274363687
970357.0031328191,1950967.2469905976
968015.4143540731,1950231.5044913979
971433.0913251651,1950552.9636268602
968874.2723021043,1951015.9553816172
966864.9014870533,1947662.0613147542
966946.732517342,1948529.6697750269
968042.142435695,1948114.3183787612
968322.429128911,1948192.7913617762
968188.0331601789,1948143.0472058058
968057.0878532968,1948209.6747120186
967618.0378614822,1948359.1585393432
967615.2254611086,1948362.941705632
967452.8748650725,1948439.4648673234
968405.1395781914,1947825.4652453703
968405.1395781914,1947825.4652453703
967056.6515780863,1948800.1640129026
967347.4621201009,1949871.4245170297
967336.7442296093,1949953.567403258
967342.520709863,1949984.8316438438
967321.236318147,1950097.7484943978
967306.287798274,1950025.3591633076
967255.8608663944,1949849.1527907827
966844.4148918217,1948659.4421239423
968728.0169005463,1950174.6423333078
968074.3087825453,1948093.0036986796
968457.2082363871,1948877.7045658196
968215.1587981967,1948143.4979076693
971238.6594495795,1951282.5548268366
971273.9920034846,1951538.718727666
971427.8891397646,1951861.0408160076
971909.7691535297,1950731.0663595316
971851.4417291889,1949941.326740826
971338.246190911,1950710.835190444
971793.2650123256,1951273.9903240928
971620.810333841,1950689.8918259977
971365.5774442897,1950441.1409011364
971903.3069854473,1951169.3265535403
970668.3335825718,1951091.5081899925
970720.5671155031,1951126.8262641802
970685.498602739,1950950.545280721
970838.1242066687,1951153.0386591968
970829.8082609024,1951048.7781818104
971021.868363916,1951164.5977980525
970942.0864279408,1951080.5579751013
968422.7630889246,1947952.2097645348
968421.5331042539,1947861.2384591082
968226.056502835,1948036.1709823057
968104.2433351564,1949213.7809862513
968066.7520713484,1949112.9639445117
968017.5856716543,1949191.9255913596
967940.4131453702,1949110.1232365188
967995.806001554,1949042.2317556774
968067.3918474811,1949049.7219298822
968144.2225576516,1949042.7695079846
968156.1427280707,1948926.229828147
968082.9257670367,1948954.248057198
968015.9461560496,1948767.0065606707
968030.6330816562,1948910.070947346
968007.4543382901,1948855.7965612218
967931.7028539759,1948913.7814738243
967951.3095132336,1948729.5343735064
967739.2348761695,1948490.7124224314
967592.0864741997,1948591.1382076782
967636.4021359434,1948627.5774581272
967587.8860753538,1948646.6279115519
967868.05546145,1948675.4928439371
967807.7786759721,1948623.581817251
967710.2038985346,1948749.3308991352
967725.5313336311,1948601.7122918086
967790.88965497,1948597.020247805
967799.5905716321,1948790.0334445506
967946.660671797,1948669.641220867
967914.497039816,1948805.1204228585
967835.9017413923,1948813.1912579162
967601.4066273482,1948715.3619389795
967637.8486125022,1948771.802356901
967661.6277986069,1948752.8486438203
967723.7794369288,1948832.4879657882
968934.3453618269,1949135.1844794664
968866.8822154121,1949048.8993679944
968873.5286623721,1948936.8184877585
968746.9824903561,1948879.6025044492
968816.1080459567,1949172.2408334666
968986.8800294427,1949009.6182475537
968812.3072986912,1949101.249383265
968636.3176446811,1949050.8780717005
968647.3906554963,1948942.1086248318
968715.5603002948,1948980.682319988
968871.7493287043,1948933.4967764488
968921.8171046749,1948856.755864189
968603.0937493414,1948908.9923505783
968545.9949477796,1948761.650016626
