x,y
962654.3432413061,1954989.496581779
962687.3313488696,1955848.4340170352
962572.2972181619,1954749.6195802144
962997.6890761891,1956339.5861556288
962989.0560302326,1956576.1361350177
963218.7170181464,1956542.781235625
963121.6915219885,1956630.319019304
963250.4903470766,1957468.0072613591
963146.2094613446,1957362.82488649
963078.1933074454,1957100.2364191099
963065.0472394542,1956885.7813920928
963273.7951468324,1957151.421430464
963203.0130893894,1957034.3091171063
963175.7040218079,1956407.4134340242
963199.6222077899,1956206.7031436216
963006.5304810484,1956873.7553680688
963177.4491356062,1956109.422298482
963096.3844344503,1956127.2801204484
963140.039265071,1956200.0774143527
962966.6376986369,1956755.5993847195
963050.0397419387,1956408.881395429
963078.7944384122,1956987.7761437248
962994.378063217,1957333.5035382954
963519.1559198201,1957587.3022916103
963507.6318972806,1957475.69991696
963195.3530822296,1957399.3422385158
963172.0292563407,1953627.6682810485
962994.1778840909,1953512.918864367
962976.4401807785,1953825.049756919
963299.0620651918,1953903.475864533
963217.7522310948,1953565.053394179
963012.4607937047,1953711.8503419107
962892.443759869,1953654.6788443057
963045.5354797961,1953583.2957325538
962981.1153592343,1957333.9401274568
963131.7703148273,1957097.3989683157
963018.4253348587,1957143.5837568105
963273.411116603,1956574.0364951538
963269.8876035789,1957406.2446771518
963220.1740993868,1956953.7805756798
963441.3508652016,1957341.2677088275
963495.6383686208,1957473.711402061
963243.9072419401,1957356.954657646
963174.8395522732,1956728.6822455763
963212.2265375722,1956286.0629287383
963132.7640550064,1957298.5190258198
963174.3864156683,1956763.687444238
963109.9674771111,1956079.4828247582
962753.1552884202,1956867.8928422797
962695.0300526379,1956621.8897558888
962621.2999325516,1956032.8945132855
962631.0664819711,1957067.269285654
962610.0991625022,1956689.1165132197
962653.497969435,1956265.049955647
962673.3601651371,1956112.9895602874
962620.3011038179,1956786.52220082
962724.8804382065,1956384.9263996556
962646.09350146,1956449.0140459149
962884.4740841252,1956233.9610630218
962607.5720078317,1956873.940768975
962820.4262259979,1956300.3207908962
962795.9260688862,1956487.2773044677
962862.4421296858,1956056.85399914
962544.2482441326,1956777.035104644
962603.2684849113,1955945.4220374988
962924.2555819985,1956044.8716639073
962934.2642494569,1956066.328641284
962494.6396952049,1956250.1093896027
962682.1924682329,1957221.4336238063
962723.8089088508,1956550.6219389637
962778.0417402433,1956388.7333056587
962716.4891968993,1956826.0961396236
962769.0054778794,1956736.2573992235
962527.8962535436,1956329.5266080822
962912.4733104298,1956320.8424722883
963892.8598616552,1954307.5646299254
963643.3368061279,1953915.9239429878
963876.9183279275,1954496.381331879
964289.1501683074,1954041.1566594443
964107.054710279,1953762.5217562984
964118.3215822529,1954556.982853027
963456.3681543034,1953793.02012339
963988.4658898931,1954011.393889834
963702.8864057912,1954167.0243586823
963770.2392382016,1953690.440418501
964161.7882983063,1954641.6187732287
963517.236687724,1953885.15919226
964139.8993671254,1954439.0813239058
963833.3784483116,1954244.306541355
964017.5331846734,1953725.5264679033
964259.3352545128,1953632.2635088577
963868.4802562066,1954043.7910152893
963969.705306108,1954407.1196460528
963569.4245027615,1954276.094648339
963383.826721526,1955808.1243757089
963584.5407251557,1955552.348986655
963659.5683090109,1955609.5347242241
963122.4400541702,1955853.820101099
963439.8583813882,1955463.9520944671
963228.9575180078,1955256.3536640925
954596.8778498461,1950669.152495589
954267.9177575536,1951880.3078461953
953647.1921749272,1951428.8638168287
953304.8206784396,1951796.9190951856
953497.8011251467,1951562.8400194056
953999.6576486838,1951282.6659346886
953900.6567755614,1950950.3679924584
953900.6567755614,1950950.3679924584
953812.582485844,1950995.237989939
953856.9900694527,1951039.370399877
953701.1117467643,1951594.9865904541
953349.3517126744,1951863.238037574
954045.6621711007,1951615.2588045092
953228.9746384876,1950876.465954651
953138.6454519704,1950521.9379776497
953008.4830471679,1950933.1876343295
953201.2879463272,1950665.8183342882
953738.6444350433,1950407.619072844
954278.726125303,1950637.616318797
954481.8732691963,1950636.4984189656
954428.451454643,1950559.12751985
954314.1172058042,1950648.516123688
953537.2325226492,1950719.4034006803
953558.2274761248,1950730.3806917688
954308.281394409,1951192.1994229618
954325.700639947,1951147.7237159081
954146.607041168,1950704.9155460596
953782.6225717945,1950374.0890337673
953791.8263484917,1950440.6072690242
954509.3448400364,1950813.8662482286
954535.841725266,1950813.7208840689
953554.2757696956,1950608.3585794845
953992.2423602842,1951537.890617011
954030.1533652418,1952003.6677836336
953496.8673828735,1951396.421053704
953496.805134531,1951385.3264574944
954901.8293808312,1951521.7961730277
954901.8897539257,1951532.8907643866
954893.058227677,1951532.938827371
954892.9978427758,1951521.8442359648
954303.3035890157,1951891.2075765305
952748.1133629769,1950191.306255644
952739.2803876812,1950191.3565964699
953239.371525386,1951153.7809072456
953256.7225996781,1951098.2083144314
953283.2186152464,1951098.0589436293
953318.0467948354,1951009.103182788
953406.3054257907,1950997.5116804566
953406.4925103924,1951030.7954513342
953371.2890265556,1951053.183285728
953353.8122217517,1951086.5664430829
953345.105095575,1951108.8053327817
953867.3658768572,1951316.6860068326
954859.6055868671,1951877.063605701
952811.9016495371,1950534.8861861934
952873.7299124624,1950534.5345136938
952846.9165929251,1950479.2122510308
952891.1429716422,1950490.055782522
952935.4951927311,1950523.0887171228
952944.5167205803,1950556.3223355792
952988.8683765805,1950589.3555531993
953024.0099836148,1950555.8715375203
953033.4082361006,1950655.6727636491
954043.3860534729,1951204.7588369732
954408.4839050784,1951746.3940835388
954080.0044240238,1951437.5494709215
954391.6150961423,1951890.721058605
953964.4536854787,1951305.0512572953
954258.4129705413,1951758.315991998
954215.5437704818,1951991.546450992
954026.3992087393,1951326.897297747
954347.3371005036,1951868.7749998115
954205.0573641533,1951692.0410430252
954038.984399185,1952003.6187977553
954433.2088314173,1951424.5051230837
954184.4508916321,1951159.598187819
954311.7065629057,1951813.4966834637
954114.1025432851,1951215.461979914
953890.3435840448,1950684.147088059
953731.6692747584,1950740.5057968
953553.8406836065,1950530.6965055633
953510.7975224581,1950730.646534023
953847.3549880038,1950895.1899358465
953529.7061910054,1950952.439226791
953687.6313303115,1950762.9415601857
954518.055391964,1950791.6286220967
954368.4556235244,1950892.3050304872
953805.1725069652,1951250.4627783878
954646.9290982691,1951745.0857028232
953617.4690734365,1950852.0932865422
953668.9745661212,1950585.5269332912
954741.6500076061,1951300.7709396523
954767.4793195601,1951178.5858437635
954714.0635786533,1951101.213099543
954574.454357473,1951412.6348404256
954739.1056547381,1950834.7983957068
954626.0473732498,1951157.1690380597
954654.7284130859,1951556.4292660023
954821.982663889,1951455.6615311075
954650.7829471142,1950835.2811113992
957655.167227549,1952924.3835813596
955273.6966685776,1952970.4423682934
956824.4187425679,1952369.080830202
956263.3875514636,1953249.2564194202
956940.2660386561,1953158.0954309208
956128.095854474,1952567.4546293032
955894.4711066408,1954107.7119516397
955766.144310132,1953711.6024523524
956456.6135557385,1953544.9586986902
957839.0688336809,1952973.518913645
957183.7603458607,1952986.8658591465
955347.0385615947,1954402.9148843004
957655.167227549,1952924.3835813596
956263.3875514636,1953249.2564194202
957648.6238089462,1952444.1881383003
955132.1555305494,1953092.517682493
955508.1078494907,1952241.0199646873
957156.3814771875,1953054.1315916455
955295.3607601565,1954349.9823141769
956203.0131170338,1952122.7071270768
955508.1078494907,1952241.0199646873
955132.1555305494,1953092.517682493
957648.6238089462,1952444.1881383003
956263.3875514636,1953249.2564194202
957655.167227549,1952924.3835813596
955347.0385615947,1954402.9148843004
957183.7603458607,1952986.8658591465
957839.0688336809,1952973.518913645
956456.6135557385,1953544.9586986902
955766.144310132,1953711.6024523524
955894.4711066408,1954107.7119516397
956128.095854474,1952567.4546293032
956940.2660386561,1953158.0954309208
956263.3875514636,1953249.2564194202
956824.4187425679,1952369.080830202
955273.6966685776,1952970.4423682934
957655.167227549,1952924.3835813596
956203.0131170338,1952122.7071270768
955295.3607601565,1954349.9823141769
957156.3814771875,1953054.1315916455
954640.9056434539,1954105.9684950681
955104.6306810135,1954247.0544929854
952843.0386931277,1953460.45239659
953068.7993291016,1954454.6133915312
952856.4609753503,1952999.8318280128
953274.4624628577,1952123.520564346
952979.5263555979,1952227.6897736113
954376.2640292855,1952535.0888446986
952972.6066889698,1956077.806233009
953442.7529111643,1956865.891023095
953823.2012451009,1957126.3783729703
954331.6059767934,1952107.1155091717
954396.9727322871,1952219.1283920368
952884.9940960568,1954595.787218075
953001.8887287665,1954285.4612018338
954640.9056434539,1954105.9684950681
954640.9056434539,1954105.9684950681
954981.3526345192,1952177.241349373
953068.7993291016,1954454.6133915312
953556.896118165,1954483.1924334157
952856.4609753503,1952999.8318280128
954337.2683666869,1955660.6339210465
952525.4437475282,1953031.225995867
952788.1040075799,1953117.2643696226
953607.1696936158,1953713.096936028
954493.8148675329,1952617.98729185
954424.976067211,1953861.0010671155
952212.2603607458,1956523.0793185148
952233.0109279393,1953050.8809154525
952826.7809632621,1953567.0569299227
952606.2433642149,1952939.1187194744
952880.4345014341,1953235.6769453883
953830.1025362907,1957129.4464647877
955341.5812841477,1951951.007031511
952788.1040075799,1953117.2643696226
952525.4437475282,1953031.225995867
954337.2683666869,1955660.6339210465
952856.4609753503,1952999.8318280128
953556.896118165,1954483.1924334157
953068.7993291016,1954454.6133915312
954981.3526345192,1952177.241349373
954640.9056434539,1954105.9684950681
954640.9056434539,1954105.9684950681
953001.8887287665,1954285.4612018338
952884.9940960568,1954595.787218075
954396.9727322871,1952219.1283920368
954331.6059767934,1952107.1155091717
953823.2012451009,1957126.3783729703
953442.7529111643,1956865.891023095
952972.6066889698,1956077.806233009
954376.2640292855,1952535.0888446986
952979.5263555979,1952227.6897736113
953274.4624628577,1952123.520564346
952856.4609753503,1952999.8318280128
953068.7993291016,1954454.6133915312
952843.0386931277,1953460.45239659
955104.6306810135,1954247.0544929854
954640.9056434539,1954105.9684950681
955341.5812841477,1951951.007031511
953830.1025362907,1957129.4464647877
949024.5570232972,1957169.9753539327
948997.457594752,1957212.303892572
948980.47013944,1957176.9041765502
950012.8504391324,1957281.5536470446
949851.260407339,1956977.41572866
949439.6682224482,1957651.1760994764
949566.2333162386,1958289.4836539181
949552.0669246565,1958281.803448076
949645.3285749074,1958235.7450238816
949667.3154155127,1958223.4065342841
949490.1116189155,1958396.4616192684
949778.0659159843,1958441.3076129633
950841.9400475007,1956746.2401477748
950767.6628722585,1956723.382054227
950716.2008966041,1956678.198514202
949184.4708440321,1956909.3655336974
949045.3732099322,1956680.5516859347
949431.1024295602,1956538.3869964518
950057.3074685743,1957482.1068388594
949967.4618321111,1957073.2397724679
949476.0643796942,1957396.8751243337
949320.4493419566,1957782.828290524
949723.6070026652,1957757.0683551752
949459.2460559821,1957677.684797142
949102.7634674021,1958118.1288649621
949915.4272397398,1959411.300248964
949916.0608823283,1959370.244325322
948707.0975742082,1958779.6260585207
948687.8940811502,1958528.9942936245
949686.6499491417,1958355.3211113885
947965.1618909405,1956984.6237681678
948797.6116286297,1957863.7140727795
948571.9985525953,1957771.9143015398
948658.8266089064,1957115.6514555323
948372.2840889287,1957446.9605590093
948148.3554624162,1956640.633552587
948447.889218322,1956832.9272090127
948398.572790887,1956426.042805845
950582.0294577678,1959187.6050421335
950667.5570468996,1959177.1086625324
950668.0223512184,1959107.206519277
950561.2844821911,1959112.2821082068
950470.083418479,1959059.5712564767
950331.1003767352,1958984.9579955137
950442.4154015408,1959301.6111612385
950450.7420274111,1959365.9130994366
948029.1655466062,1957338.1571812674
948031.9734554786,1957363.658422799
947991.3145846856,1957073.2206288571
947939.4244443027,1957102.3943714104
949090.6273375428,1957580.0887926898
948863.5787084433,1958256.0746167612
948890.9207328347,1958253.6865834326
948616.5850402726,1957845.9748017446
948635.2826093778,1957872.4870641711
948682.8306528925,1958139.585345051
948705.6300140203,1958116.1440813034
948615.4913598733,1957101.4967753924
948642.7751667605,1957089.1227191007
948436.4045159768,1957397.741984304
948389.6024745901,1957393.5957466539
949067.8542058961,1959327.7167655285
949897.9924697407,1959155.1077666925
949904.2685108695,1958734.5635270423
949055.1124530174,1959121.42502664
949364.7554957914,1958965.3002426012
949897.189201624,1959313.773362901
949169.5955238468,1958940.9787314013
948880.1914843436,1960371.8226702756
948797.5860667394,1960424.4814295117
948887.6540307346,1960437.238187917
948881.7346357644,1959908.034026203
948770.7022606196,1960214.9487504335
948618.3935478623,1960408.9506586741
948904.2537297567,1956983.2095455062
949018.8932515224,1956966.9692278248
948999.4495874081,1956819.5237500847
949539.8080006678,1956850.6058230337
950220.051209317,1957687.4951932582
950006.6477994375,1956985.351493239
949420.606471881,1957564.7505461974
949590.0397037104,1957417.260610765
949346.5519345029,1958010.1188828212
949346.5519345029,1958010.1188828212
951596.6034455716,1961571.4960865455
948609.531587323,1958273.182433073
947747.9429833401,1957388.747214458
949127.5657659397,1957415.6534461249
950076.7087189608,1959233.911847741
950693.8859400562,1959745.0229079449
950599.4941598423,1960042.9365254063
950640.7225682349,1959855.182154802
950639.6493557126,1959675.4471502926
950897.6751264164,1960037.8312627932
950767.5447374452,1960112.9428411892
950787.1126270129,1960139.4546755261
950365.8330498755,1959626.0489250026
948896.2196329142,1960253.0049514829
948888.7707425172,1960189.808397644
948418.4356327822,1960459.0150549102
953880.2832365389,1950399.9511179654
943817.5870693126,1949397.1136102213
954631.2751856924,1949124.5755675675
954639.7572079699,1949433.2787840387
954532.3777042874,1949440.9897119608
953976.0804885149,1949459.933912644
953982.371122899,1949838.9653381356
954075.0471867124,1950175.9731482791
953814.4018318803,1949961.4150945407
954068.6760913,1949502.5475633226
954102.9989997351,1950168.611119627
954335.5620647757,1949939.4565305512
954495.7065911635,1949498.751143103
954367.9879107963,1950070.7293393605
954034.1682626486,1950082.206896145
954523.4168656544,1949723.9364493934
953697.4699475013,1949709.323942957
954204.9074453186,1950006.927367761
954129.3853325264,1949942.1245021839
953912.4993663934,1949966.4921882774
954209.7175822785,1949556.6596316756
954088.0077924579,1949900.3836812694
954400.7774697018,1949770.370825791
954535.2139382962,1949861.6260070468
953999.7496412237,1949516.1880002092
954498.8365170613,1949938.7575748484
954267.8164506734,1950116.955631439
954033.0130699388,1949636.3688440477
953935.0627042773,1949717.3093796843
953966.0399836086,1950128.951606074
953902.3190198604,1949800.4812525162
954068.5611934639,1950309.4808944673
953810.5553317503,1949687.9313999512
952689.51826216,1949343.5990958675
952689.51826216,1949343.5990958675
952694.9651544003,1949617.0746687886
952708.8798611724,1949676.1801137456
952386.8096672529,1948888.5652805078
952453.5560106933,1948964.1826744834
952346.1745122492,1948992.3442387192
952683.0784894107,1948807.8065621674
952646.3748076968,1948898.3841148093
952760.320780031,1948821.8063707042
952739.5299570145,1949574.8529086963
952537.0826606961,1948949.5461014842
952373.8802708467,1949089.3900035636
952689.51826216,1949343.5990958675
952689.51826216,1949343.5990958675
952826.7375292841,1948979.799470151
952566.9723249044,1948806.2506500182
952335.3038337373,1948902.4401502733
952526.3359480299,1949033.7736921264
952777.4498913208,1948920.8829768095
952686.6063488205,1948946.1545005166
951841.0491396197,1948339.252478059
951734.7034852655,1948373.4037452575
951239.9368717608,1948272.1784200678
951875.404516174,1948137.326328338
952068.5583566978,1948385.4002295588
952073.4393800314,1948457.9772128027
952111.6825976679,1948050.0846462133
951980.1370468971,1948434.4839920232
952176.2006048938,1948231.1122132791
951734.6773918198,1948368.9182169407
954490.4527243096,1949563.5686042958
954228.2715119687,1949888.4445626608
954017.8499457428,1950021.1144820228
953935.0202297035,1949709.6630051336
953935.0202297035,1949709.6630051336
954123.4881038405,1950262.0688936282
954416.1340738132,1949587.8363505362
954618.7431785134,1949701.6393838031
953979.9514754558,1950189.2562365425
954479.9991250429,1949860.7195818776
954272.5469935699,1949792.643211964
954269.4828532364,1949667.9034896113
954177.4928955106,1949739.1668028662
953815.2358318833,1949516.366954043
953890.666899843,1949639.9228199148
953796.9435115492,1949837.1516830407
954157.9391754041,1950070.6675328717
951612.9342024698,1948182.1163334902
951843.6604036876,1948334.0016256657
951734.7034852655,1948373.4037452575
952017.8616426646,1948006.4300366398
952157.4239884489,1948158.8372154215
952081.8113985014,1948263.0576385022
951838.2942241612,1948226.905714519
951733.661734291,1948176.0942748487
952071.1764967527,1948333.9046640163
952279.8539844664,1948162.9884333566
952031.7447605865,1948060.3376392543
951868.8609939928,1948185.1578839123
951886.6016923292,1948288.6272212951
951846.3983719726,1948021.7346282098
952159.2225306769,1948081.5418750462
952476.5994637238,1948236.7154883626
952794.3702399423,1948447.6973511365
953325.2122484533,1948422.9501130222
953035.9718113249,1948245.7469907166
948990.6332808939,1944542.7514651988
946823.9211212925,1944379.278927186
946728.2951953852,1944161.535822585
947245.9793690147,1943906.4774815023
946681.0138314473,1944219.8335894512
947032.0733934994,1944466.3007951926
946835.825794718,1944286.3656022095
946994.1005064449,1944215.7390721564
946750.2835774589,1944766.2295264734
946657.9093339519,1946393.4768729694
946615.0816358521,1946428.9920798356
945716.4961003294,1946603.8818175355
945867.469543483,1946293.1429790633
945997.2114103048,1946582.1900966014
946024.2952788343,1946610.3784214477
946286.7632474395,1946549.2624930507
946299.849895878,1946577.7441896717
946627.4355459387,1946644.7128385962
945679.2049101774,1946294.8328435577
945722.2791965889,1946286.7125432699
946387.553869067,1946056.7048398084
946591.7119245455,1945554.432366862
945760.2618401912,1946256.7496605346
946016.3852536258,1946543.667748967
945588.3670748868,1946637.9345848893
945939.0425251446,1946158.364815476
947486.129372102,1945992.7467716532
945694.2235407495,1946499.4268205229
946971.9253491549,1945764.3919559703
946781.5570911495,1945683.7319206265
946530.9755769846,1945748.1179726839
947252.2612562778,1945871.5594714514
946898.9126911578,1946060.0174718208
946644.0114389999,1945850.693208499
946288.1710896755,1946117.9468797918
947275.653881464,1946283.340088053
946259.8872026005,1945847.0510439354
946314.582147099,1945936.7199690535
946209.3549113647,1946221.4620369566
946404.9417938866,1945688.9207993082
946176.6190112928,1946135.3627042747
946550.5090040452,1945617.829053735
946373.9931033537,1945625.0014475477
947363.3881336115,1946104.1086811174
947130.1846567321,1946499.3603999699
947406.0694247241,1945998.6677813928
946693.2718152683,1946036.1393322756
945825.447638337,1946580.419871021
946683.1040785022,1945914.3404576033
946713.6962050264,1945587.1135802225
946362.0937325591,1946288.182465517
945951.2999078431,1946027.9263239969
946666.8674175318,1945681.5429736194
946879.3312161004,1946014.9050787408
946679.8029759385,1945953.551407406
946802.2682565721,1945862.2341774213
946331.6330938155,1946043.7864309342
946469.0016898783,1945960.5094074747
945880.7619157083,1946131.87450758
946525.1780760633,1945513.430642298
946460.3836462484,1946404.4584995732
947343.7797986597,1945917.7495931094
946985.1433657949,1945954.8562694672
946415.5162436928,1945884.0502793223
946098.3875979304,1946414.497104863
946302.3178386979,1946457.8554360657
946410.6884065131,1946102.827247687
945803.3795192806,1946118.469339978
945563.3573213199,1946360.1823176157
946606.848211935,1946527.0405869873
946608.8870662242,1946422.1907263887
948189.8081998755,1945158.4182734105
948167.0936335946,1945208.1444345266
948136.4711691826,1945321.9512423438
948353.5779224973,1945366.9143139587
948249.5020794354,1945543.81657496
948320.0765647321,1945397.608296095
948276.9980588384,1945028.5865737512
948208.7374733719,1945594.4673051038
948425.3143046426,1944958.8746320612
948236.9085902736,1945145.4697250293
948312.1186832231,1945118.695259263
948324.1265610716,1945245.91844307
948287.5177345684,1945370.9678169645
948322.5476066379,1945527.6956761517
948557.1421136556,1945050.880807473
948170.3944247348,1945217.2793926646
948205.9142525895,1945151.6364504753
948241.1179695388,1944977.0088615261
948299.2388953642,1945295.922930126
948183.8889973501,1945086.5943081437
948385.5939940023,1945035.9848903348
948453.9654078186,1945052.1295299584
948246.6165019901,1945204.1115073387
948391.2854756105,1945483.9613342767
948251.240498778,1945265.335705555
948312.7873068149,1945578.373817427
948302.7506275965,1945066.313287442
948442.7953926092,1945384.278374402
948381.642963757,1945636.1463896444
944350.1464437618,1946436.0173058677
944812.477343103,1947000.998624239
944665.5862115067,1949422.5912167781
944492.9262577925,1949480.2643112824
943964.0340992908,1949183.9843952311
944205.8976965497,1948969.8829244317
940402.7570656544,1948561.8402536174
941663.4527347039,1947177.1941384787
941079.1699174881,1948969.9728899628
940944.2555308822,1949316.6582607045
942468.3572710818,1946356.086467716
941151.3298648618,1946651.3478192212
941283.8378140841,1946241.5539283527
941844.8570926356,1945812.3305461765
943050.3634947754,1945783.5624451505
943190.6919601847,1945870.8073390664
943685.2355242862,1947116.5234789583
943817.1148885739,1947108.640052381
944623.7859635232,1946069.7154543435
944235.2422316035,1945498.9229553689
942183.2422856387,1945414.5387501488
941126.8329210422,1945836.0287236888
943763.4747129896,1945803.5564339973
940851.6729567028,1948722.1715661567
941508.4288640005,1947963.3778650092
943439.6528575465,1947089.234748963
943807.4935154624,1947175.4975990315
941148.4387803791,1947176.0579681299
941934.4912534565,1945789.1803664449
941726.0470207162,1946148.9015808185
943179.6458868678,1946865.557724637
941676.8950433807,1945731.626288732
941646.0441837903,1945818.9396472252
944768.6371400337,1947305.073042317
944843.5068725613,1949422.347203072
944871.7114169631,1949253.0171390537
944569.5067923953,1949057.9817696144
944685.7743663196,1949164.495415182
944421.1174042812,1949788.1452873754
944185.8932922978,1948924.860373644
944257.0547064245,1949759.2893841418
944183.3494484986,1949098.2940731233
944180.2128394563,1949879.4115826031
944173.9120373607,1948076.2765863123
943035.5074805509,1946181.8669917935
943191.8624213837,1946003.163665414
943095.9154175597,1946175.6834087525
943191.8624213837,1946003.163665414
943153.3278573777,1945860.9664668066
943268.0827736715,1947289.1186547496
942968.3101663655,1946267.5385027227
